date,days,rain,sun_hours,temp_max,temp_mean,temp_min,vapor_max,vapor_mean,vapor_min,wind_mean,rain_status
1/1/2018,1,0.1,7.8,29.6,25.4,22.2,15.5,23.1,21.7,0.5,Mưa không đáng kể
2/1/2018,2,0.0,9.2,29.8,25.5,21.4,18.0,24.6,23.5,1.3,Không mưa
3/1/2018,3,0.2,9.3,31.1,26.4,22.7,13.9,27.1,26.8,0.3,Mưa không đáng kể
4/1/2018,4,0.2,4.3,32.4,28.0,25.2,16.5,28.5,26.2,0.5,Mưa không đáng kể
5/1/2018,5,1.8,2.6,31.0,27.6,25.8,10.9,32.3,31.1,0.5,Mưa
6/1/2018,6,0.2,8.4,32.5,27.2,24.1,14.8,30.0,29.6,1.0,Mưa không đáng kể
7/1/2018,7,0.0,6.9,31.7,27.1,23.5,18.8,29.0,26.4,0.5,Không mưa
8/1/2018,8,0.1,8.4,32.4,27.8,24.7,17.2,29.7,28.2,0.8,Mưa không đáng kể
9/1/2018,9,0.1,9.4,31.7,27.7,24.3,15.6,30.0,28.8,0.5,Mưa không đáng kể
10/1/2018,10,0.3,4.8,31.2,27.1,24.6,9.9,29.9,29.3,0.3,Mưa không đáng kể
11/1/2018,11,0.1,9.6,31.1,26.6,22.7,18.5,24.0,22.5,1.0,Mưa không đáng kể
12/1/2018,12,0.2,9.3,29.0,24.8,21.4,17.3,22.3,19.6,2.0,Mưa không đáng kể
13/01/2018,13,0.1,8.2,28.5,23.9,20.2,13.9,21.6,19.7,1.3,Mưa không đáng kể
14/01/2018,14,0.2,2.3,27.5,23.9,20.8,10.9,23.1,21.7,0.8,Mưa không đáng kể
15/01/2018,15,0.3,7.5,29.4,25.8,22.9,13.4,24.8,22.8,0.8,Mưa không đáng kể
16/01/2018,16,0.0,5.5,30.0,26.5,24.4,12.4,27.8,26.1,0.3,Không mưa
17/01/2018,17,0.0,1.9,30.2,26.9,24.5,10.4,29.6,28.9,0.3,Không mưa
18/01/2018,18,0.1,8.2,32.1,27.6,24.4,15.7,29.2,27.1,0.0,Mưa không đáng kể
19/01/2018,19,4.9,1.8,29.0,26.1,24.4,10.0,30.0,26.9,0.5,Mưa nhỏ
20/01/2018,20,0.1,9.2,31.4,26.7,23.7,13.4,29.2,28.4,0.3,Mưa không đáng kể
21/01/2018,21,0.3,5.8,31.0,27.2,25.0,13.1,29.9,28.8,0.5,Mưa không đáng kể
22/01/2018,22,0.1,3.6,30.5,27.0,24.4,13.2,30.0,29.0,0.3,Mưa không đáng kể
23/01/2018,23,9.5,5.7,31.5,26.7,25.3,11.0,30.6,29.4,0.5,Mưa vừa
24/01/2018,24,0.1,5.3,30.5,27.0,24.7,12.1,29.7,28.9,0.3,Mưa không đáng kể
25/01/2018,25,0.3,3.4,30.3,26.6,24.7,9.9,29.6,28.1,0.5,Mưa không đáng kể
